col1,col2,col3,col4,col5
129.234,285.281,82.916,130.532,284.829
129.233,285.281,82.914,130.532,284.826
129.233,285.28,82.911,130.531,284.825
129.232,285.279,82.91,130.531,284.818
129.231,285.276,82.91,130.53,284.816
129.229,285.276,82.908,130.53,284.815
129.228,285.275,82.905,130.528,284.813
129.228,285.275,82.905,130.528,284.807
129.227,285.275,82.903,130.527,284.804
129.226,285.275,82.903,130.527,284.803
129.224,285.275,82.902,130.527,284.802
129.224,285.274,82.902,130.526,284.798
129.223,285.274,82.899,130.525,284.797
129.222,285.274,82.899,130.521,284.79
129.222,285.274,82.898,130.52,284.784
129.221,285.273,82.897,130.52,284.783
129.219,285.27,82.896,130.52,284.775
129.218,285.269,82.895,130.518,284.767
129.218,285.269,82.893,130.518,284.758
129.217,285.268,82.893,130.517,284.758
129.216,285.268,82.892,130.517,284.757
129.214,285.266,82.892,130.516,284.757
129.213,285.266,82.891,130.516,284.756
129.212,285.264,82.889,130.515,284.755
129.212,285.262,82.888,130.515,284.75
129.21,285.261,82.887,130.514,284.748
129.21,285.259,82.885,130.514,284.743
129.209,285.259,82.884,130.514,284.741
129.208,285.257,82.884,130.513,284.739
129.207,285.256,82.883,130.512,284.738
129.205,285.254,82.881,130.511,284.737
129.205,285.254,82.881,130.511,284.726
129.205,285.253,82.881,130.51,284.722
129.205,285.253,82.88,130.509,284.716
129.204,285.253,82.879,130.509,284.709
129.204,285.252,82.879,130.509,284.692
129.204,285.252,82.878,130.509,284.686
129.203,285.252,82.872,130.508,284.658
129.203,285.251,82.869,130.508,284.655
129.202,285.25,82.868,130.508,284.642
129.202,285.249,82.868,130.508,284.63
129.201,285.248,82.867,130.508,284.61
129.201,285.245,82.867,130.505,284.567
129.201,285.245,82.866,130.5,284.534
129.201,285.245,82.864,130.496,284.494
129.2,285.244,82.863,130.495,284.489
129.199,285.244,82.863,130.495,284.488
129.199,285.242,82.863,130.492,284.484
129.199,285.236,82.863,130.492,284.46
129.199,285.236,82.862,130.491,284.456
129.197,285.235,82.862,130.488,284.44
129.197,285.235,82.86,130.487,284.438
129.197,285.235,82.86,130.485,284.401
129.196,285.234,82.86,130.485,284.398
129.196,285.234,82.86,130.485,284.379
129.195,285.234,82.856,130.484,284.376
129.193,285.233,82.856,130.484,284.375
129.193,285.233,82.855,130.483,284.374
129.193,285.233,82.854,130.483,284.364
129.192,285.232,82.853,130.483,284.358
129.19,285.232,82.853,130.482,284.348
129.19,285.232,82.852,130.482,284.348
129.19,285.232,82.85,130.481,284.345
129.19,285.232,82.849,130.479,284.331
129.189,285.231,82.849,130.479,284.317
129.188,285.231,82.848,130.478,284.315
129.187,285.231,82.848,130.478,284.313
129.186,285.23,82.847,130.477,284.31
129.186,285.229,82.847,130.477,284.31
129.185,285.229,82.846,130.477,284.306
129.184,285.228,82.844,130.476,284.301
129.183,285.228,82.843,130.475,284.29
129.183,285.227,82.842,130.473,284.274
129.183,285.227,82.841,130.471,284.273
129.183,285.226,82.839,130.471,284.262
129.182,285.226,82.839,130.47,284.258
129.182,285.225,82.838,130.47,284.257
129.182,285.224,82.837,130.469,284.252
129.182,285.224,82.836,130.468,284.245
129.182,285.224,82.836,130.468,284.239
129.181,285.223,82.836,130.467,284.228
129.181,285.223,82.835,130.466,284.228
129.18,285.223,82.835,130.465,284.227
129.179,285.223,82.834,130.465,284.227
129.179,285.222,82.834,130.464,284.225
129.179,285.222,82.834,130.464,284.205
129.179,285.222,82.834,130.464,284.199
129.177,285.222,82.833,130.463,284.164
129.177,285.221,82.833,130.462,284.144
129.177,285.221,82.832,130.461,284.121
129.177,285.221,82.83,130.46,284.117
129.177,285.221,82.83,130.46,284.102
129.176,285.219,82.83,130.46,284.096
129.176,285.219,82.83,130.459,284.09
129.173,285.219,82.828,130.458,284.084
129.173,285.218,82.826,130.458,284.074
129.172,285.217,82.826,130.453,284.072
129.172,285.217,82.823,130.453,284.067
129.172,285.216,82.821,130.452,284.065
129.171,285.216,82.82,130.452,284.064
129.171,285.216,82.818,130.451,284.059
129.171,285.216,82.818,130.45,284.058
129.171,285.215,82.817,130.449,284.055
129.171,285.215,82.815,130.448,284.05
129.17,285.214,82.814,130.448,284.049
129.17,285.214,82.813,130.448,284.047
129.169,285.214,82.812,130.446,284.046
129.169,285.214,82.811,130.441,284.044
129.169,285.213,82.81,130.439,284.042
129.168,285.211,82.81,130.437,284.042
129.167,285.211,82.809,130.437,284.039
129.167,285.21,82.809,130.437,284.039
129.165,285.21,82.809,130.434,284.039
129.165,285.209,82.809,130.432,284.038
129.163,285.208,82.807,130.431,284.036
129.163,285.207,82.805,130.431,284.036
129.162,285.206,82.805,130.431,284.03
129.161,285.206,82.804,130.43,284.028
129.161,285.206,82.803,130.43,284.026
129.16,285.205,82.802,130.43,284.024
129.16,285.205,82.8,130.429,284.02
129.16,285.205,82.799,130.429,284.017
129.16,285.205,82.799,130.426,284.014
129.159,285.204,82.799,130.425,284.013
129.159,285.201,82.798,130.424,284.011
129.157,285.2,82.798,130.424,284.011
129.157,285.199,82.796,130.424,284.009
129.156,285.199,82.795,130.422,284.005
129.156,285.198,82.795,130.422,284
129.155,285.198,82.794,130.421,283.999
129.154,285.198,82.794,130.42,283.998
129.153,285.197,82.793,130.419,283.994
129.153,285.197,82.793,130.418,283.993
129.153,285.197,82.791,130.418,283.993
129.153,285.196,82.791,130.417,283.992
129.153,285.196,82.791,130.417,283.99
129.151,285.195,82.79,130.417,283.989
129.151,285.195,82.79,130.416,283.989
129.151,285.194,82.787,130.416,283.989
129.15,285.192,82.787,130.415,283.984
129.15,285.192,82.786,130.415,283.983
129.149,285.192,82.786,130.413,283.979
129.149,285.189,82.786,130.413,283.977
129.149,285.188,82.786,130.412,283.977
129.149,285.188,82.785,130.412,283.976
129.149,285.188,82.785,130.411,283.975
129.149,285.188,82.784,130.411,283.975
129.148,285.186,82.784,130.409,283.973
129.148,285.186,82.782,130.409,283.971
129.148,285.185,82.782,130.409,283.971
129.146,285.185,82.78,130.409,283.966
129.146,285.184,82.78,130.408,283.964
129.146,285.184,82.78,130.406,283.963
129.146,285.184,82.778,130.405,283.962
129.145,285.184,82.777,130.404,283.962
129.145,285.183,82.776,130.403,283.961
129.145,285.183,82.775,130.403,283.959
129.145,285.183,82.772,130.401,283.959
129.144,285.183,82.771,130.4,283.957
129.141,285.183,82.769,130.4,283.957
129.14,285.183,82.769,130.398,283.957
129.14,285.182,82.769,130.396,283.955
129.139,285.181,82.768,130.396,283.954
129.139,285.178,82.767,130.394,283.954
129.139,285.177,82.766,130.387,283.949
129.138,285.177,82.766,130.387,283.948
129.138,285.177,82.765,130.387,283.948
129.137,285.176,82.764,130.381,283.947
129.137,285.176,82.764,130.381,283.943
129.136,285.176,82.762,130.378,283.942
129.136,285.176,82.761,130.377,283.94
129.135,285.176,82.761,130.376,283.939
129.135,285.175,82.761,130.376,283.936
129.134,285.175,82.761,130.374,283.931
129.133,285.175,82.76,130.373,283.93
129.133,285.175,82.759,130.37,283.93
129.133,285.175,82.759,130.37,283.928
129.132,285.174,82.759,130.37,283.927
129.132,285.174,82.759,130.37,283.927
129.131,285.174,82.757,130.367,283.927
129.131,285.174,82.757,130.366,283.926
129.131,285.173,82.756,130.365,283.923
129.131,285.173,82.756,130.365,283.922
129.13,285.173,82.756,130.364,283.922
129.13,285.172,82.755,130.363,283.921
129.13,285.172,82.754,130.363,283.921
129.129,285.171,82.754,130.361,283.92
129.129,285.171,82.752,130.361,283.918
129.129,285.17,82.751,130.36,283.916
129.128,285.17,82.751,130.359,283.913
129.128,285.17,82.75,130.359,283.912
129.128,285.169,82.749,130.357,283.911
129.128,285.169,82.748,130.352,283.909
129.127,285.166,82.746,130.351,283.908
129.126,285.166,82.746,130.35,283.907
129.126,285.166,82.743,130.35,283.907
129.126,285.166,82.743,130.344,283.905
129.125,285.166,82.742,130.344,283.899
129.125,285.165,82.741,130.343,283.892
129.125,285.163,82.74,130.343,283.891
129.125,285.162,82.739,130.343,283.89
129.125,285.159,82.739,130.34,283.888
129.123,285.158,82.736,130.34,283.886
129.123,285.157,82.735,130.34,283.886
129.122,285.157,82.732,130.339,283.886
129.122,285.156,82.732,130.339,283.88
129.12,285.156,82.732,130.333,283.876
129.12,285.156,82.73,130.333,283.876
129.12,285.156,82.73,130.331,283.87
129.119,285.156,82.729,130.329,283.869
